urn,name,la_name,type,phase,gender,status,admissions_policy,religious_character,easting,northing,lineage,lineage_open_date,grade_2020,grade_2020_published,grade_2020_urn,comparator_urns,comparator_names,comparator_dist_m,comparator_grades,comparator_median,first_fail,all_fails,research_candidate
102999,Carshalton High School for Girls,Sutton,Community school,Secondary,Girls,Closed,Non-selective,Does not apply,527532.0,164987.0,102999,1677-09-21,,,,136797;103013;136799,Carshalton High School for Girls;St Philomena's Catholic High School for Girls;Carshalton Boys Sports College,0;595;975,2;1;2,2.0,C1: closed 2011-05-31,C1: closed 2011-05-31 | C3: no grade in force on 2020-01-01,False
136797,Carshalton High School for Girls,Sutton,Academy converter,Secondary,Girls,Open,Non-selective,Does not apply,527532.0,164987.0,136797 < 102999,1677-09-21,2.0,2017-11-29,136797,103013;136799;136800,St Philomena's Catholic High School for Girls;Carshalton Boys Sports College;Greenshaw High School,595;975;1226,1;2;2,2.0,C3: grade 2 not better than comparator median 2.0,C3: grade 2 not better than comparator median 2.0,False
103010,Cheam High School,Sutton,Foundation school,Secondary,Mixed,Closed,Non-selective,None,524151.0,164535.0,103010,1677-09-21,1.0,2010-06-15,103010,136785;136914;136756,Cheam High School;Glenthorne High School;Overton Grange School,0;2014;2183,1;1;2,1.0,C1: closed 2011-05-31,C1: closed 2011-05-31 | C3: grade 1 not better than comparator median 1.0,False
103002,Glenthorne High School,Sutton,Foundation school,Secondary,Mixed,Closed,Non-selective,None,525279.0,166203.0,103002,1677-09-21,2.0,2006-12-05,103002,136914;136800;136799,Glenthorne High School;Greenshaw High School;Carshalton Boys Sports College,0;1358;1871,1;2;2,2.0,C1: closed 2011-06-30,C1: closed 2011-06-30 | C3: grade 2 not better than comparator median 2.0,False
103000,Greenshaw High School,Sutton,Community school,Secondary,Mixed,Closed,Non-selective,Does not apply,526548.0,165719.0,103000,1677-09-21,2.0,2007-05-17,103000,136800;136799;136797,Greenshaw High School;Carshalton Boys Sports College;Carshalton High School for Girls,0;592;1226,2;2;2,2.0,C1: closed 2011-05-31,C1: closed 2011-05-31 | C3: grade 2 not better than comparator median 2.0,False
136800,Greenshaw High School,Sutton,Academy converter,Secondary,Mixed,Open,Non-selective,Does not apply,526548.0,165719.0,136800 < 103000,1677-09-21,2.0,2012-07-05,136800,136799;136797;136914,Carshalton Boys Sports College;Carshalton High School for Girls;Glenthorne High School,592;1226;1358,2;2;1,2.0,C3: grade 2 not better than comparator median 2.0,C3: grade 2 not better than comparator median 2.0,False
143706,Harris Academy Sutton,Sutton,Free schools,Secondary,Mixed,Open,Non-selective,None,525922.0,162448.0,143706,2018-09-01,,,,136756;147538;103013,Overton Grange School;Oaks Park High School;St Philomena's Catholic High School for Girls,598;1856;2513,2;4;1,2.0,C1: opened 2018-09-01,C1: opened 2018-09-01 | C3: no grade in force on 2020-01-01,False
103001,Highview High School,Sutton,Community school,Secondary,Mixed,Closed,Non-selective,Does not apply,530312.0,164261.0,103001,1677-09-21,,,,101813;135955;103009,St Andrew's CofE School;Harris Academy Purley;The John Fisher School,1583;1816;1912,4;1;2,2.0,C1: closed 1996-08-31,C1: closed 1996-08-31 | C3: no grade in force on 2020-01-01,False
103008,Nonsuch High School for Girls,Sutton,Foundation school,Secondary,Girls,Closed,Selective,None,523770.0,163313.0,103008,1677-09-21,2.0,2008-02-15,103008,136785;136756;136534,Cheam High School;Overton Grange School;Glyn School,1280;1964;2597,1;2;1,1.0,C1: closed 2011-05-31,"C1: closed 2011-05-31 | C2 (GIAS): Selective, religious character None | C3: grade 2 not better than comparator median 1.0",False
136795,Nonsuch High School for Girls,Sutton,Academy converter,Secondary,Girls,Open,Selective,None,523770.0,163313.0,136795 < 103008,1677-09-21,2.0,2013-10-01,136795,136785;136756;136534,Cheam High School;Overton Grange School;Glyn School,1280;1964;2597,1;2;1,1.0,"C2 (GIAS): Selective, religious character None","C2 (GIAS): Selective, religious character None | C3: grade 2 not better than comparator median 1.0",False
147538,Oaks Park High School,Sutton,Academy converter,Secondary,Mixed,Open,Non-selective,Does not apply,527777.0,162381.0,147538 < 143002 < 103003,1677-09-21,4.0,2019-04-23,143002,103013;136756;103009,St Philomena's Catholic High School for Girls;Overton Grange School;The John Fisher School,2028;2160;2290,1;2;2,2.0,C3: grade 4 not better than comparator median 2.0,C3: grade 4 not better than comparator median 2.0,False
131104,Overton Grange School,Sutton,Community school,Secondary,Mixed,Closed,Non-selective,Does not apply,525710.0,163007.0,131104,1997-09-01,,,,136756;147538;136785,Overton Grange School;Oaks Park High School;Cheam High School,0;2160;2183,2;4;1,2.0,C1: closed 2011-05-31,C1: closed 2011-05-31 | C3: no grade in force on 2020-01-01,False
136756,Overton Grange School,Sutton,Academy converter,Secondary,Mixed,Open,Non-selective,Does not apply,525710.0,163007.0,136756 < 131104,1997-09-01,2.0,2016-02-25,136756,147538;136785;103013,Oaks Park High School;Cheam High School;St Philomena's Catholic High School for Girls,2160;2183;2275,4;1;1,1.0,C3: grade 2 not better than comparator median 1.0,C3: grade 2 not better than comparator median 1.0,False
103013,St Philomena's Catholic High School for Girls,Sutton,Voluntary aided school,Secondary,Girls,Open,Non-selective,Roman Catholic,527515.0,164392.0,103013,1677-09-21,1.0,2008-03-31,103013,136797;136799;136800,Carshalton High School for Girls;Carshalton Boys Sports College;Greenshaw High School,595;1531;1642,2;2;2,2.0,C1: type Voluntary aided school,"C1: type Voluntary aided school | C2 (GIAS): Non-selective, religious character Roman Catholic",False
143002,Stanley Park High,Sutton,Academy converter,Secondary,Mixed,Closed,Non-selective,Does not apply,527831.0,162560.0,143002 < 103003,1677-09-21,4.0,2019-04-23,143002,147538;103013;136756,Oaks Park High School;St Philomena's Catholic High School for Girls;Overton Grange School,187;1859;2168,4;1;2,2.0,C1: closed 2019-08-31,C1: closed 2019-08-31 | C3: grade 4 not better than comparator median 2.0,False
103003,Stanley Park High School,Sutton,Community school,Secondary,Mixed,Closed,Non-selective,Does not apply,527831.0,162560.0,103003,1677-09-21,2.0,2015-11-25,103003,147538;103013;136756,Oaks Park High School;St Philomena's Catholic High School for Girls;Overton Grange School,187;1859;2168,4;1;2,2.0,C1: closed 2016-11-30,C1: closed 2016-11-30 | C3: grade 2 not better than comparator median 2.0,False
136787,Sutton Grammar School,Sutton,Academy converter,Secondary,Boys,Open,Selective,None,526120.0,164447.0,136787 < 103011,1677-09-21,1.0,2008-12-18,103011,136800;103013;136756,Greenshaw High School;St Philomena's Catholic High School for Girls;Overton Grange School,1342;1396;1497,2;1;2,2.0,"C2 (GIAS): Selective, religious character None","C2 (GIAS): Selective, religious character None",False
103011,Sutton Grammar School for Boys,Sutton,Foundation school,Secondary,Boys,Closed,Selective,None,526120.0,164447.0,103011,1677-09-21,1.0,2008-12-18,103011,136800;103013;136756,Greenshaw High School;St Philomena's Catholic High School for Girls;Overton Grange School,1342;1396;1497,2;1;2,2.0,C1: closed 2011-05-31,"C1: closed 2011-05-31 | C2 (GIAS): Selective, religious character None",False
103009,The John Fisher School,Sutton,Voluntary aided school,Secondary,Boys,Open,Non-selective,Roman Catholic,530067.0,162365.0,103009,1677-09-21,2.0,2013-11-18,103009,101821;138187;135955,Thomas More Catholic School;Woodcote High School;Harris Academy Purley,966;1729;1973,2;2;1,2.0,C1: type Voluntary aided school,"C1: type Voluntary aided school | C2 (GIAS): Non-selective, religious character Roman Catholic | C3: grade 2 not better than comparator median 2.0",False
103014,Wallington County Grammar School,Sutton,Foundation school,Secondary,Boys,Closed,Selective,None,528934.0,164954.0,103014,1677-09-21,,,,136797;103013;136799,Carshalton High School for Girls;St Philomena's Catholic High School for Girls;Carshalton Boys Sports College,1402;1526;2033,2;1;2,2.0,C1: closed 2011-05-31,"C1: closed 2011-05-31 | C2 (GIAS): Selective, religious character None | C3: no grade in force on 2020-01-01",False
136798,Wallington County Grammar School,Sutton,Academy converter,Secondary,Boys,Open,Selective,None,528934.0,164954.0,136798 < 103014,1677-09-21,1.0,2017-03-02,136798,136797;103013;136799,Carshalton High School for Girls;St Philomena's Catholic High School for Girls;Carshalton Boys Sports College,1402;1526;2033,2;1;2,2.0,"C2 (GIAS): Selective, religious character None","C2 (GIAS): Selective, religious character None",False
103012,Wallington High School for Girls,Sutton,Foundation school,Secondary,Girls,Closed,Selective,None,529016.0,162617.0,103012,1677-09-21,2.0,2011-02-03,103012,103009;147538;138187,The John Fisher School;Oaks Park High School;Woodcote High School,1081;1261;2017,2;4;2,2.0,C1: closed 2011-05-31,"C1: closed 2011-05-31 | C2 (GIAS): Selective, religious character None | C3: grade 2 not better than comparator median 2.0",False
136789,Wallington High School for Girls,Sutton,Academy converter,Secondary,Girls,Open,Selective,None,529016.0,162617.0,136789 < 103012,1677-09-21,2.0,2011-02-03,103012,103009;147538;138187,The John Fisher School;Oaks Park High School;Woodcote High School,1081;1261;2017,2;4;2,2.0,"C2 (GIAS): Selective, religious character None","C2 (GIAS): Selective, religious character None | C3: grade 2 not better than comparator median 2.0",False
103007,Wilson's School,Sutton,Voluntary aided school,Secondary,Boys,Closed,Selective,Church of England,530432.0,163861.0,103007,1677-09-21,1.0,2007-06-25,103007,135955;103009;101813,Harris Academy Purley;The John Fisher School;St Andrew's CofE School,1518;1540;1735,1;2;4,2.0,C1: type Voluntary aided school; closed 2011-03-31,"C1: type Voluntary aided school; closed 2011-03-31 | C2 (GIAS): Selective, religious character Church of England",False
136621,Wilson's School,Sutton,Academy converter,Secondary,Boys,Open,Selective,Church of England,530432.0,163861.0,136621 < 103007,1677-09-21,1.0,2007-06-25,103007,135955;103009;101813,Harris Academy Purley;The John Fisher School;St Andrew's CofE School,1518;1540;1735,1;2;4,2.0,"C2 (GIAS): Selective, religious character Church of England","C2 (GIAS): Selective, religious character Church of England",False
100971,Bethnal Green Technology College,Tower Hamlets,Community school,Secondary,Mixed,Closed,Non-selective,Does not apply,534008.0,182708.0,100971,1677-09-21,3.0,2010-03-05,100971,137789;100972;100277,Mulberry Academy Shoreditch;Oaklands School;Haggerston School,0;585;586,1;2;2,2.0,C1: closed 2011-12-31,C1: closed 2011-12-31 | C3: grade 3 not better than comparator median 2.0,False
133289,Bishop Challoner Boys' School,Tower Hamlets,Voluntary aided school,Secondary,Boys,Closed,Non-selective,Roman Catholic,535454.0,181196.0,133289 < 100976,1677-09-21,2.0,2018-02-05,133289,100978;100977;144700,Bishop Challoner Catholic School;Stepney All Saints Church of England Secondary School;Mulberry Stepney Green Mathematics and Computing College,127;495;712,1;1;2,1.0,C1: type Voluntary aided school; closed 2023-08-31,"C1: type Voluntary aided school; closed 2023-08-31 | C2 (GIAS): Non-selective, religious character Roman Catholic | C3: grade 2 not better than comparator median 1.0",False
100978,Bishop Challoner Catholic School,Tower Hamlets,Voluntary aided school,Secondary,Mixed,Closed,Non-selective,Roman Catholic,535328.0,181182.0,100978,1677-09-21,1.0,2014-05-09,100978,133289;143629;100977,Bishop Challoner Boys' School;Mulberry School for Girls;Stepney All Saints Church of England Secondary School,127;597;602,2;1;1,1.0,C1: type Voluntary aided school; closed 2024-08-31,"C1: type Voluntary aided school; closed 2024-08-31 | C2 (GIAS): Non-selective, religious character Roman Catholic | C3: grade 1 not better than comparator median 1.0",False
150606,Bishop Challoner Catholic School,Tower Hamlets,Academy converter,Secondary,Mixed,Open,Non-selective,Roman Catholic,535328.0,181182.0,150606 < 100978,1677-09-21,1.0,2014-05-09,100978,133289;143629;100977,Bishop Challoner Boys' School;Mulberry School for Girls;Stepney All Saints Church of England Secondary School,127;597;602,2;1;1,1.0,"C2 (GIAS): Non-selective, religious character Roman Catholic","C2 (GIAS): Non-selective, religious character Roman Catholic | C3: grade 1 not better than comparator median 1.0",False
100965,Bow School,Tower Hamlets,Community school,Secondary,Mixed,Open,Non-selective,Does not apply,538190.0,182375.0,100965,1677-09-21,2.0,2018-05-02,100965,139834;100966;143379,East London Science School;Langdon Park Community School;St Paul's Way Trust School,440;924;1182,2;2;1,2.0,C3: grade 2 not better than comparator median 2.0,C3: grade 2 not better than comparator median 2.0,False
142879,Canary Wharf College Crossharbour,Tower Hamlets,Free schools,Secondary,Mixed,Open,,Christian,537903.0,179152.0,142879,2016-09-01,2.0,2019-05-07,142879,100974;145313;100193,George Green's School;Bacon's College;St Ursula's Convent School,870;2094;2175,2;4;1,2.0,C1: opened 2016-09-01,"C1: opened 2016-09-01 | C2 (GIAS): , religious character Christian | C3: grade 2 not better than comparator median 2.0",False
100975,Central Foundation Girls' School,Tower Hamlets,Voluntary aided school,Secondary,Girls,Open,Non-selective,None,536855.0,182784.0,100975,1677-09-21,2.0,2016-12-01,100975,143379;100967;100965,St Paul's Way Trust School;Morpeth School;Bow School,1013;1332;1396,1;1;2,1.0,C1: type Voluntary aided school,C1: type Voluntary aided school | C3: grade 2 not better than comparator median 1.0,False
100974,George Green's School,Tower Hamlets,Voluntary controlled school,Secondary,Mixed,Open,Non-selective,None,538426.0,178457.0,100974,1677-09-21,2.0,2013-04-22,100974,142879;100193;147439,Canary Wharf College Crossharbour;St Ursula's Convent School;The John Roan School,870;1379;1576,2;1;4,2.0,C3: grade 2 not better than comparator median 2.0,C3: grade 2 not better than comparator median 2.0,False
100966,Langdon Park Community School,Tower Hamlets,Community school,Secondary,Mixed,Open,Non-selective,Does not apply,538021.0,181467.0,100966,1677-09-21,2.0,2016-09-09,100966,100965;143379;139834,Bow School;St Paul's Way Trust School;East London Science School,924;939;1350,2;1;2,2.0,C3: grade 2 not better than comparator median 2.0,C3: grade 2 not better than comparator median 2.0,False
